UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,5,0,0,0,0,5,15,0,10,0,5,0,0,0,25,0,0,5,0,0,5,10,5,10,0,0,0,0,5,5,0,120,395
10007783,The University of Aberdeen,45,45,240,0,5,45,0,70,35,65,200,115,0,295,0,85,0,65,100,175,35,150,80,5,0,55,150,15,130,0,80,10,0,80,125,0,"2,505","4,225"
10007849,Abertay University,5,5,35,0,0,5,0,5,5,5,15,85,0,50,0,20,0,10,35,30,5,10,5,5,0,5,20,5,10,0,5,0,0,15,15,0,410,500
10007856,Aberystwyth University,0,10,80,0,5,5,0,0,0,5,10,40,0,30,0,50,0,5,40,50,5,0,10,0,0,10,255,10,10,0,10,0,0,25,5,0,680,"1,195"
10000080,Access to Music Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10000291,Anglia Ruskin University,10,10,30,0,5,15,0,5,0,5,10,80,0,195,10,50,0,10,85,80,5,25,5,5,0,35,20,75,55,0,5,0,0,50,15,0,900,"2,980"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,15
10007759,Aston University,15,15,75,0,0,20,0,5,10,0,5,75,0,65,0,45,0,5,30,50,15,30,5,0,0,45,30,25,40,0,5,0,0,45,15,0,675,"2,360"
10007857,Bangor University,5,10,20,0,0,25,0,5,5,0,5,25,0,50,10,45,0,0,95,30,5,5,0,5,0,10,5,0,25,0,0,0,0,25,5,0,420,"2,210"
10000571,Bath Spa University,5,5,5,0,0,5,0,0,0,0,5,15,0,25,5,25,0,0,10,25,5,0,5,0,0,5,5,20,0,0,0,0,0,20,5,0,200,795
10007850,The University of Bath,25,80,95,0,0,115,0,20,10,5,10,265,0,150,5,120,0,25,50,135,5,35,30,15,0,45,35,45,40,0,5,0,0,160,15,0,"1,540","4,700"
10007152,University of Bedfordshire,0,15,40,0,10,50,0,15,0,5,5,30,0,25,5,90,0,5,40,30,10,20,0,0,0,15,55,105,205,0,10,0,0,15,5,0,800,"2,600"
10005343,Queen's University Belfast,5,5,10,0,0,5,0,5,5,0,0,35,0,30,0,20,0,0,720,25,0,0,0,0,0,5,10,5,10,0,0,0,0,25,10,0,935,"2,805"
10037544,BIMM University,10,15,15,0,0,20,0,5,5,15,5,65,0,20,10,10,0,5,20,85,10,15,5,0,0,5,10,25,10,0,0,5,0,25,90,0,505,600
10007760,Birkbeck College,10,5,15,0,5,10,0,10,5,5,5,40,0,65,0,65,0,15,25,135,10,10,5,5,0,10,50,20,25,0,10,5,0,45,10,0,615,"1,270"
10007140,Birmingham City University,0,5,55,0,5,105,0,5,15,20,5,10,0,20,0,20,0,15,65,25,20,20,0,0,0,10,30,20,135,0,0,0,0,30,15,0,650,"2,820"
10006840,The University of Birmingham,10,40,70,0,5,85,0,15,20,5,10,135,0,135,5,135,0,15,135,145,0,20,10,50,0,40,35,30,150,0,15,5,0,100,25,0,"1,445","7,620"
10000712,University College Birmingham,5,0,10,0,50,10,0,100,0,55,0,115,0,5,5,10,0,5,5,10,10,25,0,0,0,5,10,80,65,0,15,0,0,30,0,0,635,"1,235"
10007811,Bishop Grosseteste University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10004061,Bloomsbury Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35
10006841,The University of Bolton,0,0,10,0,0,50,0,0,0,0,0,5,0,15,0,20,0,0,15,5,0,0,0,0,0,5,5,10,0,0,0,0,0,5,5,0,150,505
10000385,The Arts University Bournemouth,5,5,15,0,0,5,0,0,0,15,5,15,0,10,0,10,0,5,5,20,15,5,0,0,0,5,10,15,5,0,5,0,0,10,5,0,195,475
10000824,Bournemouth University,10,30,100,0,0,30,0,5,15,25,50,45,0,90,5,45,0,10,35,115,40,40,5,5,0,50,35,30,25,0,10,0,0,55,35,0,935,"2,655"
