UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Mayotte,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10008071,AA School of Architecture,5,5,0,0,0,5,0,0,0,0,5,10,0,5,0,5,0,0,0,20,0,0,5,0,0,0,5,10,0,5,0,0,5,0,5,5,0,100,380
10007783,The University of Aberdeen,50,50,185,0,5,50,0,85,50,40,265,165,0,320,0,85,0,75,90,235,30,95,90,5,0,0,55,180,15,95,0,95,15,0,115,155,0,"2,715","4,420"
10007849,Abertay University,0,10,35,0,5,10,0,10,5,0,20,100,0,50,0,25,0,5,20,35,5,10,5,5,0,0,10,25,0,5,0,0,5,0,25,15,0,450,545
10007856,Aberystwyth University,5,10,55,0,5,10,0,0,0,5,10,30,0,35,0,45,0,5,75,60,0,0,10,5,0,0,15,315,10,10,0,0,5,0,35,5,0,760,"1,250"
10000080,Access to Music Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000248,Academy of Live and Recorded Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10000291,Anglia Ruskin University,5,5,25,0,0,15,0,5,10,0,5,65,0,115,15,45,0,10,95,100,5,20,0,5,0,0,30,25,110,60,0,10,0,0,70,10,0,875,"2,860"
10005451,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
10000381,Arts Educational Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,15
10007759,Aston University,15,15,70,0,0,20,0,10,15,5,5,65,0,75,0,60,0,5,25,50,10,25,5,0,0,0,50,30,20,30,0,5,0,0,60,15,0,685,"2,430"
10007857,Bangor University,5,5,20,0,0,25,0,5,5,0,5,75,0,50,5,55,0,0,90,30,5,5,5,5,0,0,15,10,5,20,0,5,0,0,35,10,0,505,"2,385"
10000571,Bath Spa University,5,5,5,0,0,10,0,5,0,0,0,25,0,25,5,25,0,5,10,20,5,0,5,5,0,0,5,10,15,5,0,0,0,0,30,5,0,245,780
10007850,The University of Bath,35,80,105,0,0,115,0,15,15,5,10,315,0,140,5,155,0,25,40,140,0,25,40,10,0,0,50,45,45,60,0,5,0,0,190,20,0,"1,700","4,945"
10007152,University of Bedfordshire,0,5,40,0,15,40,0,15,0,5,0,15,0,20,0,120,0,5,55,20,15,30,0,0,0,0,15,90,150,235,0,10,0,0,15,10,0,940,"2,445"
