UKPRN,HE provider,Open-ended/Permanent,Fixed-term,Total academic staff
10007783,The University of Aberdeen,"1,625",40,"1,665"
10007849,University of Abertay Dundee,195,15,210
10007856,Aberystwyth University,550,390,940
10000291,Anglia Ruskin University,710,70,780
10007759,Aston University,410,250,660
10007857,Bangor University,570,475,"1,045"
10000571,Bath Spa University,290,280,570
10007850,The University of Bath,760,525,"1,285"
10007152,University of Bedfordshire,565,115,680
10005343,The Queen's University of Belfast,"1,100",600,"1,705"
10007760,Birkbeck College,640,325,965
10007140,Birmingham City University,"1,510",70,"1,580"
10006840,The University of Birmingham,"1,825","1,685","3,510"
10000712,University College Birmingham,285,5,290
10007811,Bishop Grosseteste University,65,15,80
10006841,The University of Bolton,275,30,305
10000385,The Arts University Bournemouth,315,10,325
10000824,Bournemouth University,730,95,830
10007785,The University of Bradford,530,110,640
10000886,The University of Brighton,"1,125",615,"1,745"
10007786,The University of Bristol,"1,885","1,010","2,895"
10000961,Brunel University London,635,565,"1,200"
10000975,Buckinghamshire New University,340,145,485
10007787,The University of Buckingham,140,20,160
10007788,The University of Cambridge,"3,750","1,940","5,690"
10003324,The Institute of Cancer Research,280,360,640
10001143,Canterbury Christ Church University,605,120,730
10007814,Cardiff University,"2,315","1,065","3,380"
10007854,Cardiff Metropolitan University,625,95,720
10007141,The University of Central Lancashire,"1,065",315,"1,380"
10007848,University of Chester,370,230,600
10007137,The University of Chichester,235,265,500
10001478,The City University,810,920,"1,730"
10001653,Conservatoire for Dance and Drama,235,30,260
10007761,Courtauld Institute of Art,30,5,35
10001726,Coventry University,"1,205",795,"2,000"
10007822,Cranfield University,520,145,660
10006427,University for the Creative Arts,350,10,360
10007842,University of Cumbria,380,40,420
10001883,De Montfort University,920,295,"1,215"
10007851,University of Derby,"1,205",50,"1,250"
10007852,The University of Dundee,"1,070",465,"1,535"
10007143,University of Durham,"1,185",505,"1,690"
10007789,The University of East Anglia,960,745,"1,700"
10007144,The University of East London,620,285,910
10007823,Edge Hill University,525,475,"1,000"
10007772,Edinburgh Napier University,760,90,850
10007790,The University of Edinburgh,"2,620","1,660","4,280"
10007791,The University of Essex,645,470,"1,115"
10007792,The University of Exeter,"1,170",690,"1,860"
10008640,Falmouth University,230,5,235
10007762,Glasgow Caledonian University,675,95,770
10002681,Glasgow School of Art,155,35,190
10007794,The University of Glasgow,"2,835",340,"3,175"
10007145,University of Gloucestershire,385,265,650
10007833,Glyndŵr University ,190,125,320
10002718,Goldsmiths College,465,545,"1,010"
10007146,The University of Greenwich,840,390,"1,230"
10007825,Guildhall School of Music and Drama,440,135,575
10040812,Harper Adams University,145,10,155
10007764,Heriot-Watt University,570,225,795
10007147,University of Hertfordshire,"1,355",135,"1,490"
10007765,Heythrop College,35,45,80
10007148,The University of Huddersfield,750,65,815
10007149,The University of Hull,875,190,"1,065"
10003270,"Imperial College of Science, Technology and Medicine","1,935","2,410","4,350"
10007766,Institute of Education,365,100,465
10007767,The University of Keele,595,255,855
10007150,The University of Kent,950,"1,025","1,970"
10003645,King's College London,"1,865","2,645","4,510"
10003678,Kingston University,800,195,995
10007768,The University of Lancaster,860,880,"1,735"
10003854,Leeds College of Art,125,35,160
10003861,Leeds Beckett University,910,500,"1,410"
10007795,The University of Leeds,"2,115","1,180","3,290"
10003863,Leeds Trinity University,130,20,145
10007796,The University of Leicester,"1,300",400,"1,700"
10007151,The University of Lincoln,685,260,945
10003956,Liverpool Hope University,230,40,265
10003957,Liverpool John Moores University,970,340,"1,310"
10003945,The Liverpool Institute for Performing Arts,50,10,60
10006842,The University of Liverpool,"1,685","1,035","2,720"
10003958,Liverpool School of Tropical Medicine,85,165,255
10007162,"University of the Arts, London",930,950,"1,885"
10007769,London Business School,100,5,105
10007797,University of London (Institutes and activities),35,45,80
10004048,London Metropolitan University,580,60,640
10004078,London South Bank University,725,310,"1,035"
10004063,London School of Economics and Political Science,875,770,"1,645"
10007771,London School of Hygiene and Tropical Medicine,195,605,800
10004113,Loughborough University,880,550,"1,430"
10004180,The Manchester Metropolitan University,"1,395","1,040","2,435"
10007798,The University of Manchester,"2,555","2,390","4,945"
10004351,Middlesex University,825,155,980
