UKPRN,HE provider,Female,Male,Other,Not known,Total
10008071,AA School of Architecture,435,340,0,0,775
10007783,The University of Aberdeen,"8,640","6,135",0,0,"14,775"
10007849,Abertay University,"2,135","2,215",5,0,"4,355"
10007856,Aberystwyth University,"4,230","3,585",30,0,"7,845"
10000080,Access to Music Limited,10,10,0,0,20
10067853,ACM Guildford Limited,325,860,0,0,"1,185"
10000248,Academy of Live and Recorded Arts,155,105,0,0,260
10000163,AECC University College,300,300,0,0,595
10032036,Amity Global Education,25,55,0,0,80
10000291,Anglia Ruskin University,"15,615","8,855",25,0,"24,490"
10041898,Apex College London,30,20,0,0,50
10005451,Arden University,"3,365","1,815",0,0,"5,175"
10000381,Arts Educational Schools,140,135,0,0,275
10007759,Aston University,"7,135","7,850",0,0,"14,990"
10007857,Bangor University,"6,095","4,095",0,0,"10,195"
10000571,Bath Spa University,"5,360","2,405",0,0,"7,770"
10007850,The University of Bath,"8,540","9,515",10,0,"18,065"
10007152,University of Bedfordshire,"8,410","5,515",0,0,"13,925"
10005343,Queen's University Belfast,"14,215","10,485",0,0,"24,695"
10037544,BIMM University,"1,800","3,280",35,0,"5,115"
10007760,Birkbeck College,"6,270","5,100",20,0,"11,390"
10007140,Birmingham City University,"16,245","9,595",15,0,"25,855"
10006840,The University of Birmingham,"20,435","15,005",10,0,"35,445"
10000712,University College Birmingham,"3,345","1,555",0,0,"4,905"
10000894,Bristol Baptist College,30,25,0,0,55
10007811,Bishop Grosseteste University,"1,810",440,0,0,"2,255"
10004061,Bloomsbury Institute,"1,245",845,0,0,"2,090"
10006841,The University of Bolton,"4,190","2,755",5,0,"6,945"
10000385,The Arts University Bournemouth,"2,325","1,040",20,0,"3,385"
10000824,Bournemouth University,"9,835","7,995",30,0,"17,860"
10031982,BPP University,"5,830","3,725",10,0,"9,565"
10007785,The University of Bradford,"5,475","4,185",0,0,"9,665"
10000886,The University of Brighton,"12,615","7,825",30,0,"20,470"
10000936,The University College of Osteopathy,285,210,0,0,490
10007786,The University of Bristol,"14,485","11,450",20,0,"25,955"
10028216,Brit College,230,330,0,0,560
10023464,Trinity College Bristol,95,70,0,0,165
10000961,Brunel University London,"6,810","7,980",0,0,"14,790"
10000975,Buckinghamshire New University,"5,770","5,230",0,0,"11,005"
10007787,The University of Buckingham,"1,635","1,435",0,0,"3,070"
10022021,UK College of Business and Computing,355,220,0,0,575
10019368,London College of Business Studies,45,40,0,0,90
10010308,Cambridge Arts and Sciences Limited,70,20,0,145,235
10007788,The University of Cambridge,"9,855","11,020",15,0,"20,890"
10032072,The Cambridge Theological Federation,50,40,0,0,90
10003324,The Institute of Cancer Research,165,100,0,0,265
10001143,Canterbury Christ Church University,"9,805","4,290",5,0,"14,100"
10007814,Cardiff University,"19,765","13,380",45,0,"33,190"
10007854,Cardiff Metropolitan University,"6,050","4,620",0,0,"10,675"
10007141,The University of Central Lancashire,"13,530","9,635",0,0,"23,160"
10007848,University of Chester,"10,085","4,480",5,0,"14,570"
10007137,The University of Chichester,"3,435","2,035",0,0,"5,470"
10001386,Chicken Shed Theatre Company,50,30,0,0,80
10001546,The College of Integrated Chinese Medicine,145,25,0,0,170
10001419,Christie's Education Limited,70,5,0,0,75
10026921,Christ the Redeemer College,20,25,0,0,45
10010213,The City College,135,110,0,40,285
10001478,"City, University of London","11,545","8,655",10,0,"20,210"
10007912,Cliff College,90,65,0,0,155
10001653,Conservatoire for Dance and Drama,970,535,5,0,"1,510"
10007761,Courtauld Institute of Art,400,95,5,0,495
10034324,Court Theatre Training Company Ltd,25,15,0,0,40
10001726,Coventry University,"16,745","18,205",20,0,"34,970"
10007822,Cranfield University,"1,180","3,305",0,0,"4,490"
10006427,University for the Creative Arts,"4,600","2,000",15,0,"6,615"
